iteration,trn_loss,lr,val_loss,val_acc
1,2.3107714653015137,0.0025037499999999995,2.3037078833580016,0.1001
1000,1.7871917486190796,0.0062425,1.6296509957313539,0.3891
2000,1.397151231765747,0.0099925,1.4346000742912293,0.4785
3000,1.3798251152038574,0.0062575,1.1770915579795838,0.5772
4000,1.277231216430664,0.0025075,1.0596520459651948,0.6244
5000,0.9499526023864746,0.0062425,0.9992859840393067,0.6465
6000,0.9290933012962341,0.0099925,1.008832541704178,0.6426
7000,0.9343844056129456,0.0062575,0.8648380535840988,0.7
8000,0.8247926235198975,0.0025075,0.8192868012189866,0.7132
9000,0.9912943840026855,0.0062425,0.8615369200706482,0.7007
10000,0.773872435092926,0.0099925,0.8739808905124664,0.7023
11000,0.6843559741973877,0.0062575,0.8040102541446685,0.7207
12000,0.7088581919670105,0.0025075,0.7617915314435959,0.7373
13000,0.6052320003509521,0.0062425,0.8647695463895798,0.6982
14000,0.794687807559967,0.0099925,0.8799992960691452,0.7007
15000,0.7306278944015503,0.0062575,0.7869658249616623,0.7191
16000,0.6305683255195618,0.0025075,0.7061074459552765,0.7583
17000,0.6098673343658447,0.0062425,0.7731593436002732,0.7361
18000,0.8396649956703186,0.0099925,0.8128264397382736,0.7156
19000,0.6211410164833069,0.0062575,0.7215045467019081,0.7487
20000,0.5655218362808228,0.0025075,0.693716648221016,0.759
21000,0.6114405989646912,0.0062425,0.7179484128952026,0.7487
22000,0.8701313734054565,0.0099925,0.824239826798439,0.7127
23000,0.5933546423912048,0.0062575,0.7052155894041061,0.7562
24000,0.6326577663421631,0.0025075,0.6655034932494164,0.7722
25000,0.6162247657775879,0.0062425,0.7216688817739487,0.7467
26000,0.7891346216201782,0.0099925,0.7403267225623131,0.7474
27000,0.6787174344062805,0.0062575,0.7210627794265747,0.7515
28000,0.6085342168807983,0.0025075,0.652126258611679,0.7765
29000,0.5743268728256226,0.0062425,0.6933480682969093,0.7605
30000,0.7121335864067078,0.0099925,0.7724560111761093,0.7328
31000,0.46877869963645935,0.0062575,0.6835660079121589,0.7632
32000,0.5117945671081543,0.0025075,0.6544367641210556,0.7759
33000,0.6679995059967041,0.0062425,0.7006160834431648,0.7578
34000,0.6973825693130493,0.0099925,0.7804092645645142,0.7264
35000,0.6801764965057373,0.0062575,0.7004086598753929,0.7545
