iteration,trn_loss,lr,val_loss,val_acc
1,2.3081281185150146,0.0025037499999999995,2.3051880550384523,0.1005
1000,1.738964557647705,0.0062425,1.665504242181778,0.3855
2000,1.4795106649398804,0.0099925,1.331455579996109,0.5143
3000,1.150672435760498,0.0062575,1.1473946970701219,0.5882
4000,1.0724025964736938,0.0025075,1.0152420073747634,0.6438
5000,1.160057544708252,0.0062425,0.9966735970973969,0.654
6000,0.9784924387931824,0.0099925,0.9519199401140213,0.6694
7000,0.9737328886985779,0.0062575,0.8932129734754563,0.6839
8000,0.7170023322105408,0.0025075,0.8222486644983291,0.7186
9000,0.9279277920722961,0.0062425,0.8243024873733521,0.7127
10000,0.8530652523040771,0.0099925,0.8690129601955414,0.6967
11000,0.80401211977005,0.0062575,0.8342496061325073,0.7093
12000,0.7014123797416687,0.0025075,0.7405118662118911,0.7455
13000,0.6739166378974915,0.0062425,0.8270181936025619,0.7107
14000,1.114944577217102,0.0099925,0.9178143709897995,0.6831
15000,0.6370658278465271,0.0062575,0.7809011441469192,0.7254
16000,0.6156260967254639,0.0025075,0.7235390922427177,0.7509
17000,0.7376428842544556,0.0062425,0.7568728375434876,0.7392
18000,0.6598946452140808,0.0099925,0.8181523317098618,0.7179
19000,0.8681234121322632,0.0062575,0.7393771678209304,0.7427
20000,0.6458835601806641,0.0025075,0.6982266861200332,0.7566
21000,0.8241538405418396,0.0062425,0.7561801218986511,0.7404
22000,0.7942106127738953,0.0099925,0.7557075208425522,0.736
23000,0.590581476688385,0.0062575,0.7326080697774887,0.7455
24000,0.5171414613723755,0.0025075,0.6755907225608826,0.7642
25000,0.7231249213218689,0.0062425,0.7466354644298554,0.7343
26000,0.6851260662078857,0.0099925,0.7404179003834724,0.7442
27000,0.8885394930839539,0.0062575,0.7302025386691093,0.7478
28000,0.597777247428894,0.0025075,0.6814229252934456,0.7666
29000,0.6143508553504944,0.0062425,0.7188313612341881,0.7522
30000,0.7341071963310242,0.0099925,0.7693815970420838,0.7377
31000,0.5930024981498718,0.0062575,0.6928838723897934,0.7568
32000,0.4622083902359009,0.0025075,0.6720310488343239,0.7678
33000,0.6336299777030945,0.0062425,0.6704966831207275,0.7686
34000,0.8258171081542969,0.0099925,0.7508483082056046,0.7407
35000,0.8109813928604126,0.0062575,0.7183452251553536,0.7563
