iteration,trn_loss,lr,val_loss,val_acc
1,2.302161455154419,0.001,2.303682413101196,0.1
1000,2.2194292545318604,0.001,2.196604869365692,0.1935
2000,1.8911033868789673,0.001,1.829579312801361,0.3122
3000,1.642427682876587,0.001,1.6669208014011383,0.3839
4000,1.5316646099090576,0.001,1.5719902324676513,0.4163
5000,1.667109727859497,0.001,1.4963288640975951,0.4483
6000,1.5728968381881714,0.001,1.4321515989303588,0.4758
7000,1.5480401515960693,0.001,1.4284981632232665,0.4872
8000,1.3230552673339844,0.001,1.3662333154678346,0.5051
9000,1.327164888381958,0.001,1.32965864777565,0.5243
10000,1.389552116394043,0.001,1.2690277636051177,0.5461
11000,1.0710490942001343,0.001,1.2374437129497529,0.5555
12000,1.0825456380844116,0.001,1.221505137681961,0.5676
13000,1.1476000547409058,0.001,1.166151067018509,0.5858
14000,1.1713985204696655,0.001,1.151418097615242,0.5942
15000,1.0483144521713257,0.001,1.1111010801792145,0.607
16000,1.0236915349960327,0.001,1.0919683080911637,0.6183
17000,1.0846236944198608,0.001,1.0807886445522308,0.6175
18000,1.1846979856491089,0.001,1.0579353016614914,0.6304
19000,0.9463834166526794,0.001,1.0462534660100937,0.6321
20000,0.8931590914726257,0.001,1.0163070940971375,0.6453
21000,0.9370321035385132,0.001,1.0174472498893739,0.6439
22000,0.926710844039917,0.001,1.0028261905908584,0.6495
23000,0.8814209699630737,0.001,0.9764688086509704,0.6595
24000,1.1114261150360107,0.001,0.9530734372138977,0.6666
25000,0.9815956354141235,0.001,0.9329354840517045,0.6789
26000,1.0158953666687012,0.001,0.9408533084392547,0.6686
27000,0.863273024559021,0.001,0.9221655160188675,0.6806
28000,0.9327831864356995,0.001,0.9118378418684006,0.6844
29000,0.891723096370697,0.001,0.9178941726684571,0.6799
30000,0.8281142711639404,0.001,0.8993066447973251,0.685
31000,0.7072446942329407,0.001,0.8951368719339371,0.6893
32000,0.8771203756332397,0.001,0.8651543438434601,0.7015
33000,0.986186146736145,0.001,0.8607909804582596,0.7
34000,0.8275050520896912,0.001,0.8650722813606262,0.6957
35000,0.7286180257797241,0.001,0.8419300669431686,0.7108
36000,0.7084441184997559,0.001,0.8427324271202088,0.7035
37000,0.5480409860610962,0.001,0.8283131921291351,0.7132
38000,0.7055124640464783,0.001,0.8291842484474182,0.7123
39000,0.6464557647705078,0.001,0.8330129182338715,0.7122
40000,0.7603229284286499,0.001,0.8136423367261887,0.7153
41000,0.6886308193206787,0.001,0.8332337290048599,0.7131
42000,0.8052626252174377,0.001,0.8207447564601899,0.7127
43000,0.7528672218322754,0.001,0.801660612821579,0.7254
44000,0.6295719742774963,0.001,0.7860988444089889,0.7283
45000,0.7045707702636719,0.001,0.7928861701488494,0.7285
46000,0.6803428530693054,0.001,0.7852596801519394,0.7282
47000,0.7264109253883362,0.001,0.8059761774539947,0.7203
48000,0.7331071496009827,0.001,0.7718625688552856,0.7381
49000,0.7011639475822449,0.001,0.7699511402845383,0.7404
50000,0.6258833408355713,0.001,0.7761044573783874,0.7313
51000,0.5819084048271179,0.001,0.7743026179075241,0.733
52000,0.6235536932945251,0.001,0.7722638759016991,0.7354
53000,0.5167467594146729,0.001,0.7476416423916816,0.7439
54000,0.643634557723999,0.001,0.7781493872404098,0.7319
55000,0.4950554668903351,0.001,0.7733781814575196,0.7346
56000,0.6273985505104065,0.001,0.748189155459404,0.7452
57000,0.6645618677139282,0.001,0.748605164885521,0.7467
58000,0.7719994187355042,0.001,0.7576217919588089,0.7393
59000,0.6583189368247986,0.001,0.748944433927536,0.748
60000,0.6182031631469727,0.001,0.7453183573484421,0.7488
