iteration,trn_loss,lr,val_loss,val_acc
1,2.2942497730255127,0.001,2.304554522037506,0.1
1000,2.275017023086548,0.001,2.2805168795585633,0.1906
2000,1.9132020473480225,0.001,1.9282059252262116,0.3029
3000,1.7522635459899902,0.001,1.6925348031520844,0.3743
4000,1.8402700424194336,0.001,1.5746035492420196,0.4157
5000,1.6396420001983643,0.001,1.5177902817726134,0.4387
6000,1.5997252464294434,0.001,1.4513669657707213,0.4659
7000,1.5713578462600708,0.001,1.4414219987392425,0.4762
8000,1.3311092853546143,0.001,1.362903118133545,0.5051
9000,1.3911932706832886,0.001,1.312984845638275,0.5258
10000,1.2477164268493652,0.001,1.2973519742488862,0.5316
11000,1.377392292022705,0.001,1.2451799380779267,0.5551
12000,1.182533621788025,0.001,1.221853305697441,0.5638
13000,1.1561472415924072,0.001,1.18661379635334,0.5821
14000,1.2055118083953857,0.001,1.1569846081733703,0.5924
15000,1.2438620328903198,0.001,1.1356801825761795,0.6003
16000,0.9588149189949036,0.001,1.1636093878746032,0.5893
17000,1.0649280548095703,0.001,1.107153869867325,0.6093
18000,1.0031914710998535,0.001,1.0985066014528275,0.6075
19000,1.453597903251648,0.001,1.0640332835912705,0.6219
20000,1.067983865737915,0.001,1.0411523598432542,0.6293
21000,1.056625247001648,0.001,1.018830621242523,0.6402
22000,0.8585469126701355,0.001,1.0008399087190627,0.6513
23000,0.9973307251930237,0.001,0.9734321945905685,0.6616
24000,0.8693864345550537,0.001,0.9800707846879959,0.661
25000,1.0250054597854614,0.001,0.9624067914485931,0.6609
26000,1.1111290454864502,0.001,0.9435459142923355,0.6728
27000,0.8859816789627075,0.001,0.931512387394905,0.6727
28000,1.062300443649292,0.001,0.925559412240982,0.6735
29000,0.7846704125404358,0.001,0.9254409992694854,0.6773
30000,0.6839337348937988,0.001,0.9010952496528626,0.6837
31000,0.849449634552002,0.001,0.8864072918891907,0.6883
32000,0.9681857824325562,0.001,0.8842559885978699,0.6946
33000,0.9366549849510193,0.001,0.8629040139913559,0.7017
34000,0.8061457276344299,0.001,0.8414860773086548,0.7094
35000,0.714627206325531,0.001,0.8628222173452378,0.6985
36000,0.8486401438713074,0.001,0.8452230483293534,0.7086
37000,0.7542068958282471,0.001,0.8359609842300415,0.7073
38000,0.8159316778182983,0.001,0.837144632935524,0.7142
39000,0.6527426242828369,0.001,0.840666474699974,0.7068
40000,0.9730886220932007,0.001,0.8173962599039077,0.7196
41000,0.790984570980072,0.001,0.8151428908109665,0.7202
42000,0.7025076150894165,0.001,0.804305209517479,0.7272
43000,0.6425375938415527,0.001,0.8069309067726135,0.7196
44000,0.7913181781768799,0.001,0.8010474449396133,0.7271
45000,0.7696165442466736,0.001,0.7843137788772583,0.7325
46000,0.8974021077156067,0.001,0.7991607350111007,0.7274
47000,0.7666196227073669,0.001,0.7746409785747528,0.735
48000,0.6049320101737976,0.001,0.7797771835327149,0.7294
49000,0.7698575854301453,0.001,0.777188800573349,0.7329
50000,0.6876544952392578,0.001,0.7691862207651138,0.7382
51000,0.69358229637146,0.001,0.7982432633638382,0.7261
52000,0.6562516093254089,0.001,0.7506458276510238,0.7404
53000,0.5928664207458496,0.001,0.7780038690567017,0.729
54000,0.7432234287261963,0.001,0.7735483062267303,0.7345
55000,0.796582043170929,0.001,0.7629879432916641,0.733
56000,0.6556098461151123,0.001,0.8146449899673462,0.7179
57000,0.7930172681808472,0.001,0.7760870766639709,0.7306
58000,0.7280109524726868,0.001,0.7554585307836532,0.7391
59000,0.7170644998550415,0.001,0.7325658971071243,0.7461
60000,0.7675963640213013,0.001,0.7633250719308853,0.7374
