iteration,trn_loss,lr,val_loss,val_acc
1,2.2893190383911133,0.001,2.305589187145233,0.1109
1000,2.117851734161377,0.001,2.1278552532196047,0.2106
2000,1.7930207252502441,0.001,1.865374310016632,0.3151
3000,1.5930087566375732,0.001,1.7053271186351777,0.3637
4000,1.4978039264678955,0.001,1.590683308839798,0.4053
5000,1.5037145614624023,0.001,1.518517769575119,0.433
6000,1.4995872974395752,0.001,1.4822452425956727,0.4553
7000,1.3237515687942505,0.001,1.4106175196170807,0.48
8000,1.392795205116272,0.001,1.3448641657829286,0.5074
9000,1.407563328742981,0.001,1.3059576058387756,0.5266
10000,1.1862844228744507,0.001,1.271847310066223,0.5384
11000,1.3045339584350586,0.001,1.2751716578006744,0.5419
12000,1.2036088705062866,0.001,1.2160215497016906,0.5661
13000,1.202947735786438,0.001,1.1749471193552017,0.5805
14000,1.150506854057312,0.001,1.1608082675933837,0.5878
15000,0.9414973258972168,0.001,1.1261319673061372,0.5995
16000,1.2323987483978271,0.001,1.1276207000017167,0.5974
17000,1.0142583847045898,0.001,1.0955677497386933,0.6085
18000,1.0193076133728027,0.001,1.0668160605430603,0.621
19000,1.081117033958435,0.001,1.0587258231639862,0.6289
20000,1.0626050233840942,0.001,1.0352020639181136,0.6355
21000,0.9441707134246826,0.001,1.0434594589471817,0.6282
22000,0.8288007974624634,0.001,0.9908078020811081,0.6529
23000,0.9585800766944885,0.001,0.9894594639539719,0.656
24000,0.9640131592750549,0.001,0.97263312458992,0.6549
25000,0.8328726887702942,0.001,0.9623492062091827,0.6594
26000,0.9740990400314331,0.001,0.946539181470871,0.6646
27000,0.9556941390037537,0.001,0.9388789874315262,0.6733
28000,0.8276361227035522,0.001,0.9186432045698166,0.6768
29000,0.787753164768219,0.001,0.904821029305458,0.6806
30000,0.8695430755615234,0.001,0.9020476865768433,0.6858
31000,0.8616897463798523,0.001,0.9254122579097748,0.6693
32000,0.6918925642967224,0.001,0.8787707191705704,0.693
33000,0.9057095050811768,0.001,0.8603569394350052,0.6984
34000,0.8852972388267517,0.001,0.859788481593132,0.6999
35000,0.9315310716629028,0.001,0.8766316872835159,0.6911
36000,0.9772385954856873,0.001,0.8442698115110397,0.7096
37000,0.8059221506118774,0.001,0.8467086333036423,0.7071
38000,0.7504188418388367,0.001,0.8454049003124237,0.702
39000,0.8499611020088196,0.001,0.8475474202632904,0.7037
40000,0.925443172454834,0.001,0.8476831024885177,0.7083
41000,1.1680351495742798,0.001,0.8140909492969512,0.7196
42000,0.8337886929512024,0.001,0.8096808731555939,0.7191
43000,0.7177281975746155,0.001,0.8290551310777664,0.7121
44000,0.7636218070983887,0.001,0.799237614274025,0.7266
45000,0.8918519616127014,0.001,0.8013338816165924,0.7192
46000,0.7213247418403625,0.001,0.8342060458660125,0.7091
47000,0.7353415489196777,0.001,0.8021515613794327,0.7202
48000,0.700182318687439,0.001,0.8019806897640228,0.7227
49000,0.6993427872657776,0.001,0.7764487379789352,0.7297
50000,0.7301948666572571,0.001,0.7739107072353363,0.731
51000,0.7899215221405029,0.001,0.7803667187690735,0.7348
52000,0.7001007795333862,0.001,0.7721175199747086,0.7299
53000,0.8102169036865234,0.001,0.7609931978583336,0.7349
54000,0.6812400221824646,0.001,0.7662631440162658,0.7326
55000,0.5387611985206604,0.001,0.7471103942394257,0.7449
56000,0.5677260756492615,0.001,0.7413703680038453,0.7452
57000,0.7448218464851379,0.001,0.7589822632074356,0.7382
58000,0.6565014123916626,0.001,0.748248884677887,0.7401
59000,0.6947242617607117,0.001,0.7489908871054649,0.7442
60000,0.6220242977142334,0.001,0.7478791564702988,0.7408
