iteration,trn_loss,lr,val_loss,val_acc
1,2.3076300621032715,0.001,2.3058548402786254,0.1
1000,2.2786638736724854,0.001,2.2763002848625185,0.2151
2000,1.9515702724456787,0.001,1.9702565634250642,0.2841
3000,1.8182286024093628,0.001,1.753011659383774,0.356
4000,1.7078303098678589,0.001,1.6215591216087342,0.4
5000,1.580376386642456,0.001,1.539909280538559,0.4288
6000,1.4411572217941284,0.001,1.4893878173828126,0.4534
7000,1.409519910812378,0.001,1.4303413724899292,0.4755
8000,1.167982578277588,0.001,1.3637947535514832,0.5047
9000,1.3845378160476685,0.001,1.329739637374878,0.5206
10000,1.263371467590332,0.001,1.3070685338974,0.5289
11000,1.2464780807495117,0.001,1.291545866727829,0.5382
12000,1.2362220287322998,0.001,1.2329987275600434,0.5595
13000,1.402095913887024,0.001,1.1989743721485138,0.5714
14000,1.1734600067138672,0.001,1.1551129853725433,0.5921
15000,1.1591438055038452,0.001,1.1297784858942033,0.6005
16000,1.109192132949829,0.001,1.1020210641622543,0.611
17000,1.173784613609314,0.001,1.1164515542984008,0.6011
18000,1.1502082347869873,0.001,1.0843731743097305,0.616
19000,0.9079688787460327,0.001,1.0691058397293092,0.6232
20000,1.0360027551651,0.001,1.0437082797288895,0.63
21000,1.0436805486679077,0.001,0.9973783111572265,0.6515
22000,1.0893532037734985,0.001,1.0081740427017212,0.6479
23000,0.9073970913887024,0.001,0.9644283735752106,0.6648
24000,0.9182127118110657,0.001,0.9865520352125168,0.6528
25000,1.0839842557907104,0.001,0.9333338135480881,0.6784
26000,0.8964176177978516,0.001,0.9332537782192231,0.675
27000,0.8219853043556213,0.001,0.9216541558504104,0.6804
28000,0.8846781253814697,0.001,0.9434895658493042,0.6685
29000,0.9219362735748291,0.001,0.9070088982582092,0.6902
30000,0.7882760763168335,0.001,0.9071738076210022,0.6834
31000,0.8644286394119263,0.001,0.8983612090349198,0.6926
32000,0.8916894793510437,0.001,0.8762688410282135,0.695
33000,0.7154192924499512,0.001,0.8597752612829208,0.7005
34000,0.8550695776939392,0.001,0.8618664735555649,0.7022
35000,0.8221437931060791,0.001,0.8368544763326645,0.7119
36000,0.8270313739776611,0.001,0.8520743674039841,0.7082
37000,0.8635937571525574,0.001,0.835230610370636,0.71
38000,0.7688568830490112,0.001,0.8285375511646271,0.7163
39000,0.8018597364425659,0.001,0.853039990067482,0.7029
40000,0.853007972240448,0.001,0.8111499279737473,0.7196
41000,0.681080162525177,0.001,0.8161885577440262,0.7222
42000,0.6923890113830566,0.001,0.8102437478303909,0.719
43000,0.8441823720932007,0.001,0.7888928365707397,0.7284
44000,0.7379102110862732,0.001,0.7849259877204895,0.7334
45000,1.0189265012741089,0.001,0.8463261002302169,0.705
46000,0.6351796388626099,0.001,0.7821821576356888,0.7297
47000,0.5751827955245972,0.001,0.8071059429645538,0.7231
48000,0.932940661907196,0.001,0.7838507339358329,0.7295
49000,0.8589550256729126,0.001,0.7670265758037567,0.7373
50000,0.8630398511886597,0.001,0.7959438323974609,0.7326
51000,0.6799739003181458,0.001,0.7794944632053376,0.73
52000,0.7802347540855408,0.001,0.7609236752986908,0.7386
53000,0.5260274410247803,0.001,0.7567718344926834,0.7395
54000,0.630221426486969,0.001,0.7565481525659561,0.7445
55000,0.6387748718261719,0.001,0.7599117827415466,0.7388
56000,0.5381697416305542,0.001,0.76242682158947,0.7358
57000,0.6390154361724854,0.001,0.7925469672679901,0.722
58000,0.8735405802726746,0.001,0.7392360419034958,0.7427
59000,0.7345513105392456,0.001,0.7326008665561676,0.7489
60000,0.7013970017433167,0.001,0.7346246773004532,0.7476
