iteration,trn_loss,lr,val_loss,val_acc
1,2.3024260997772217,0.0010049999999999994,2.3041430282592774,0.1284
500,2.2621076107025146,0.002245,2.2626279997825622,0.1338
1000,1.9237037897109985,0.0034950000000000003,1.8631570529937744,0.3127
1500,1.7503907680511475,0.004745,1.628403615951538,0.3981
2000,1.5804166793823242,0.005995,1.4852090322971343,0.4548
2500,1.3846451044082642,0.0047550000000000005,1.393815199136734,0.487
3000,1.3365353345870972,0.003505,1.3312723553180694,0.5193
3500,1.3161717653274536,0.002255,1.2746328973770142,0.5394
4000,1.1548651456832886,0.001005,1.2128922164440155,0.5624
4500,1.2272790670394897,0.0016225,1.2083317458629608,0.5672
5000,1.1041715145111084,0.0022475000000000004,1.1816556030511856,0.5744
5500,1.0698150396347046,0.0028725,1.1642704164981843,0.5823
6000,1.3718080520629883,0.0034975,1.1328082382678986,0.5994
6500,0.835521399974823,0.0028775,1.0893065184354782,0.6143
7000,1.0521982908248901,0.0022525,1.0837858998775483,0.6128
7500,1.0769633054733276,0.0016275,1.0302971243858337,0.6347
8000,1.1066813468933105,0.0010025,1.0053655725717545,0.645
8500,1.0513033866882324,0.00131125,1.0100949209928514,0.6461
9000,0.9269934892654419,0.0016237500000000002,1.0163428193330766,0.6403
9500,0.9301745891571045,0.00193625,0.9833368349075318,0.6547
10000,0.9000012874603271,0.00224875,0.9828006190061569,0.652
10500,0.9942581057548523,0.00193875,0.9594968205690384,0.6601
11000,0.9652082920074463,0.00162625,0.961267352104187,0.6608
11500,0.9852600693702698,0.00131375,0.93381884932518,0.6699
12000,0.837493360042572,0.00100125,0.9238749551773071,0.675
12500,0.8507392406463623,0.001155625,0.9151181334257126,0.6777
13000,1.10129976272583,0.001311875,0.9190455943346023,0.6748
13500,1.0821830034255981,0.001468125,0.9036001372337341,0.682
14000,1.017630934715271,0.001624375,0.9397742402553558,0.6691
14500,0.8807682991027832,0.001469375,0.8818600821495056,0.6939
15000,0.9283406734466553,0.001313125,0.9114441251754761,0.6811
15500,0.7666990160942078,0.001156875,0.8792786365747451,0.6954
16000,0.8629062175750732,0.001000625,0.8732075130939484,0.6983
16500,0.8163259625434875,0.0010778125,0.8620731943845749,0.6946
17000,0.9142245650291443,0.0011559375,0.8771497368812561,0.6974
17500,0.8031051754951477,0.0012340625,0.8569528126716613,0.702
18000,0.7850573062896729,0.0013121875,0.8451311111450195,0.707
18500,1.0819169282913208,0.0012346875,0.863521648645401,0.7009
19000,0.8052389025688171,0.0011565625,0.8593351697921753,0.6968
19500,0.8801146149635315,0.0010784375,0.8448758062720299,0.7034
20000,0.7276350259780884,0.0010003125000000001,0.8231289339065552,0.7131
20500,0.7501604557037354,0.0010389062500000001,0.8471708685159683,0.7041
21000,0.8478219509124756,0.00107796875,0.8222295385599137,0.7197
21500,0.7570144534111023,0.00111703125,0.8336056181788445,0.7096
22000,0.6596484184265137,0.00115609375,0.8297759199142456,0.7118
22500,0.9784002900123596,0.00111734375,0.8222770524024964,0.7158
23000,0.7083050012588501,0.00107828125,0.8097003012895584,0.7163
23500,0.6186904907226562,0.00103921875,0.8125202476978302,0.7192
24000,0.7067780494689941,0.00100015625,0.814721690416336,0.7223
24500,0.9154037237167358,0.001019453125,0.7984144508838653,0.7208
25000,0.8878299593925476,0.001038984375,0.7847582632303238,0.7294
